product_code	title	brand	available	price_actual	price_regular	material
WD-G-110-R	WINDY Boxing gloves (PU) for KIDS - RED	Windy	False			['Synthetic Leather']
FT-BGV6-BKWHRD	Fairtex Gloves - Stylish Angular - BGV6 BLACK/WHITE/RED	Fairtex	False	68.95	120.0	['Genuine Leather']
FT-BGV1-PINK	Fairtex Gloves - Tight-Fit design - PINK	Fairtex	False	63.95	135.0	['Genuine Leather']
MFB-BGVL-CLASSIC-BKWH	MAN FIGHT Muay Thai Gloves - Classic - Black/White	Man Fight	False	47.99	80.0	['Genuine Leather']
WD-G-111-K	WINDY Boxing gloves (Sponge, PU) - BLACK	Windy	False			['Synthetic Leather']
TSM-G-001-R	Thaismai Muay Thai Gloves - RED	Thaismai	True	61.75	100.0	['Genuine Leather']
FT-BGV5	Fairtex Super Sparring Gloves - Black/Red/White	Fairtex	False	68.95	115.0	['Genuine Leather']
TSM-G-001-B	Muay Thai Gloves - NAVY BLUE	Thaismai	True	61.75	100.0	['Genuine Leather']
MFB-BGVL-MACHINE-WHCP	MAN FIGHT Muay Thai Gloves - MACHINE - White/Copper	Man Fight	True	58.99	92.0	['Genuine Leather']
MFB-BGS-SVRDBK	MAN FIGHT Muay Thai Gloves - Neon - Sliver/Red/Black	Man Fight	False	40.95	96.0	['Microfiber Leather']
WD-G-020-B	Muay Thai Gloves - Flame	Windy	False			['Genuine Leather']
FT-FGV18-BKRD	Fairtex Super Sparring Grappling Gloves - FGV18 - Black/Red	Fairtex	False	62.95	105.0	['Microfiber Leather']
FT-BGV1BR-WH	Fairtex Gloves - BGV1BR - BREATHABLE WHITE	Fairtex	True	63.95	115.0	['Genuine Leather']
MFB-BGS-ORBKGN	MAN FIGHT Muay Thai Gloves - Neon - Orange/Black/Green	Man Fight	False	42.95	96.0	['Microfiber Leather']
ST-CG-003	SIAMTOPS Custom Muay Thai Gloves - Lace-up	Siamtops	True	61.5	125.0	['Genuine Leather']
FT-BGV1-WHBKRD	Fairtex Gloves - Tight-Fit design - BGV1 - WHITE/BLACK/RED	Fairtex	True	59.99	135.0	['Genuine Leather']
MFB-BGVL-CLASSIC-WHRD	MAN FIGHT Muay Thai Gloves - Classic - White/Red	Man Fight	False	49.99	80.0	['Genuine Leather']
FT-BGV1-RED	Fairtex Gloves - Tight-Fit design - RED	Fairtex	True	63.95	135.0	['Genuine Leather']
FT-BGV1-USA	Fairtex Muay Thai Gloves - USA Flag	Fairtex	False	65.75	130.0	['Genuine Leather']
ST-CG-002	SIAMTOPS Custom Muay Thai Gloves - CG-002	Siamtops	True	61.5	125.0	['Genuine Leather']
FT-BGV1-DARKCLOUD	Fairtex Muay Thai Gloves - DARK CLOUD	Fairtex	True	69.99	135.0	['Genuine Leather']
ST-G-001-B	Muay Thai Gloves - BLUE	Siamtops	True	57.95	95.0	['Genuine Leather']
FT-BGV1-AUS	Fairtex Muay Thai Gloves - Australian Flag	Fairtex	False	69.99	130.0	['Genuine Leather']
FT-FGV15-RDBK	Fairtex  Sparring Gloves - Double WristWrapClosure	Fairtex	False	49.95	98.0	['Genuine Leather']
FT-BGV14-BLACK	Fairtex Boxing Gloves - Micro Fiber - BLACK	Fairtex	True	62.99	130.0	['Microfiber Leather']
FT-BGV14B-OPART	Fairtex Boxing Gloves - Optical Art - BLACK	Fairtex	True	61.99	130.0	['Microfiber Leather']
FT-BGV1-BLACK	Fairtex Gloves - Tight-Fit design - BLACK	Fairtex	True	63.95	135.0	['Genuine Leather']
FT-BGV6-WHRD	Fairtex Gloves - Stylish Angular - BGV6 - WHITE/Red	Fairtex	False	66.95	120.0	['Genuine Leather']
MFB-BGVL-MACHINE-WHGD	MAN FIGHT Muay Thai Gloves - MACHINE - White/Gold	Man Fight	False	51.99	92.0	['Genuine Leather']
WD-G-110-Y	WINDY Boxing gloves (PU) for KIDS - YELLOW	Windy	False			['Synthetic Leather']
FT-BGV14-RED	Fairtex Boxing Gloves - Micro Fiber - RED	Fairtex	True	58.99	130.0	['Microfiber Leather']
FT-BGV1-NP-PINK	Fairtex Muay Thai Gloves - Nation Print - PINK	Fairtex	False	67.99	135.0	['Genuine Leather']
MFB-BGVL-MACHINE-WHSV	MAN FIGHT Muay Thai Gloves - MACHINE - White/Silver	Man Fight	False	51.99	92.0	['Genuine Leather']
FT-BGV1-FALCON	Fairtex Boxing Gloves - Gold Falcon	Fairtex	False	97.95	165.0	['Genuine Leather']
ST-CG-021	SIAMTOPS Custom Muay Thai Bag Gloves	Siamtops	True	47.95	80.0	['Genuine Leather']
FT-FGV17-WHRD	Fairtex Super Sparring Gloves - FGV17 - White/Red	Fairtex	False	51.95	98.95	['Genuine Leather']
TKBGCT-TH	TKB Muay Thai gloves - TKBGCT-TH - Asian TH	TKB	True	62.95	115.0	['Semi Leather']
MFB-BGVL-MACHINE-BKCP	MAN FIGHT Muay Thai Gloves - MACHINE - Black/Copper	Man Fight	False	58.99	92.0	['Genuine Leather']
FT-BGV1BR-BK	Fairtex Gloves - BGV1BR - BREATHABLE BLACK	Fairtex	True	63.95	115.0	['Genuine Leather']
ST-CG-001	SIAMTOPS Custom Muay Thai Gloves - CG-001	Siamtops	True	61.5	125.0	['Genuine Leather']
FT-BGV14-PINK	Fairtex Boxing Gloves - Micro Fiber - PINK	Fairtex	False	64.99	130.0	['Microfiber Leather']
FT-BGV14SB-SOLIDBK	Fairtex Boxing Gloves - Micro Fiber - BGV14SB SOLID BLACK	Fairtex	True	62.99	130.0	['Microfiber Leather']
TSM-G-001-K	Muay Thai Gloves - BLACK	Thaismai	True	61.75	100.0	['Genuine Leather']
FT-BGV14-GRAY	Fairtex Boxing Gloves - Micro Fiber - GRAY	Fairtex	True	63.99	130.0	['Microfiber Leather']
TKBGCH-WHGD	TKB Muay Thai gloves - TKBGCH-WHGD - White/Gold	TKB	True	58.95	115.0	['Semi Leather']
MFB-BGVL-MACHINE-BKGD	MAN FIGHT Muay Thai Gloves - MACHINE - Black/Gold	Man Fight	False	51.99	92.0	['Genuine Leather']
WD-G-020-A	Muay Thai Gloves - Flame	Windy	False			['Genuine Leather']
MFB-BGS-LGPKOR	MAN FIGHT Muay Thai Gloves - Neon - LightGreen/Pink/Orange	Man Fight	False	41.95	96.0	['Microfiber Leather']
FT-BGV1-BLUE	Fairtex Gloves - Tight-Fit design - BLUE	Fairtex	False	63.95	135.0	['Genuine Leather']
TKBGCT-CN	TKB Muay Thai gloves - TKBGCT-CN - Asian CN	TKB	True	62.95	115.0	['Semi Leather']
ST-G-001-R	Muay Thai Gloves - RED	Siamtops	True	57.95	95.0	['Genuine Leather']
FT-BGV1-CLASSIC	Fairtex Muay Thai Gloves - Fairtex Celebrate 1971	Fairtex	False	69.99	130.0	['Genuine Leather']
ST-G-001-W	Muay Thai Gloves - WHITE	Siamtops	True	57.95	95.0	['Genuine Leather']
FT-BGV14-WHITE	Fairtex Boxing Gloves - Micro Fiber - WHITE	Fairtex	True	62.99	130.0	['Microfiber Leather']
TKBGCH-BKSV	TKB Muay Thai gloves - TKBGCH-BKSV - Black/Silver	TKB	True	61.95	115.0	['Semi Leather']
FT-BGV21	Fairtex Muay Thai Gloves - BGV21 - Legacy - Matte Brown	Fairtex	True	68.99	145.0	['Genuine Leather']
TSM-G-006-B	THAISMAI Muay Thai gloves - Lizard - GREEN	Thaismai	False	72.75	120.0	['Genuine Leather']
FT-BGV1-THAI	Fairtex Boxing Gloves - Thai Pride	Fairtex	False	67.99	135.0	['Genuine Leather']
MFB-BGVL-MACHINE-BKSV	MAN FIGHT Muay Thai Gloves - MACHINE - Black/Silver	Man Fight	False	51.99	92.0	['Genuine Leather']
TSM-G-006-C	THAISMAI Muay Thai gloves - Lizard - WHITE	Thaismai	True	72.75	120.0	['Genuine Leather']
TKBGCH-BKGD	TKB Muay Thai gloves - TKBGCH-BKGD - Black/Gold	TKB	True	58.95	115.0	['Semi Leather']
FT-BGV11-FD	Fairtex Muay Thai gloves - F-DAY	Fairtex	True	68.99	130.0	['Microfiber Leather']
WD-G-010-K	WINDY Muay Thai Bag Gloves - BLACK	Windy	False			['Genuine Leather']
FT-TGT7-BKRD	Fairtex Cross-Trainer bag gloves Black/Red	Fairtex	False	49.75	92.0	['Genuine Leather']
WD-G-001-R	WINDY Muay Thai Gloves - RED	Windy	False			['Genuine Leather']
MFB-BGVL-CLASSIC-BKRD	MAN FIGHT Muay Thai Gloves - Classic - Black/Red	Man Fight	False	47.99	80.0	['Genuine Leather']
FT-BGV1-BKWHRD	Fairtex Gloves - Tight-Fit design - BGV1 - BLACK/WHITE/RED	Fairtex	True	65.99	135.0	['Genuine Leather']
FT-BGV12-AURA	Fairtex Boxing Gloves - AURA	Fairtex	False	97.95	165.0	['Genuine Leather']
FT-FGV12-RDBK	Fairtex  Ultimate Combat gloves with OpenThumpLoop	Fairtex	True	53.95	105.0	['Genuine Leather']
FT-BGV1-EMERALD	Fairtex Muay Thai Gloves - EMERALD	Fairtex	False	69.99	130.0	['Genuine Leather']
FT-BGV1-WHITE	Fairtex Gloves - Tight-Fit design - WHITE	Fairtex	True	63.95	135.0	['Genuine Leather']
ST-G-001-K	Muay Thai Gloves - BLACK	Siamtops	True	57.95	95.0	['Genuine Leather']
FT-BGV14-YELLOW	Fairtex Boxing Gloves - Micro Fiber - YELLOW	Fairtex	False	64.99	130.0	['Microfiber Leather']
FT-BGV6-RDWH	Fairtex Gloves - Stylish Angular - BGV6 - RED/White	Fairtex	True	66.95	120.0	['Genuine Leather']
MFB-BGVL-CLASSIC-WHBU	MAN FIGHT Muay Thai Gloves - Classic - White/Blue	Man Fight	False	49.99	80.0	['Genuine Leather']
FT-BGV14WR	Fairtex Boxing Gloves - Japanese Art - BGV14WR - White/Red	Fairtex	True	59.99	130.0	['Microfiber Leather']
FT-BGV1-YELLOW	Fairtex Gloves - Tight-Fit design - YELLOW	Fairtex	False	63.95	135.0	['Genuine Leather']
WD-G-110-K	WINDY Boxing gloves (PU) for KIDS - BLACK	Windy	False			['Synthetic Leather']
FT-BGV14BLU-JPART	Fairtex Boxing Gloves - Japanese Art - DARK BLUE	Fairtex	True	63.99	130.0	['Microfiber Leather']
WD-G-001-K	WINDY Muay Thai Gloves - BLACK	Windy	False			['Genuine Leather']
TKBGCH-WHSV	TKB Muay Thai gloves - TKBGCH-WHSV - White/Silver	TKB	True	64.95	115.0	['Semi Leather']
TSM-G-006-A	THAISMAI Muay Thai gloves - Lizard - RED	Thaismai	True	72.75	120.0	['Genuine Leather']
FT-BGV14R-MINART	Fairtex Boxing Gloves - Minimalism Art - 14RED	Fairtex	True	64.99	130.0	['Microfiber Leather']
WD-G-001-B	WINDY Muay Thai Gloves - BLUE	Windy	False			['Genuine Leather']
FT-BGV14-NAVYBLUE	Fairtex Boxing Gloves - Micro Fiber - NAVY BLUE	Fairtex	False	64.99	130.0	['Microfiber Leather']
